20170201 041700;1.257830;1.257990;1.257750;1.257810;0
20170201 041800;1.257790;1.258300;1.257670;1.258300;0
20170201 041900;1.258310;1.258910;1.258290;1.258860;0
20170201 042000;1.258850;1.260360;1.258850;1.259900;0
20170201 042100;1.259880;1.260050;1.259540;1.260030;0
20170201 042200;1.260010;1.260470;1.259880;1.259910;0
20170201 042300;1.259890;1.259900;1.259520;1.259560;0
20170201 042400;1.259570;1.259710;1.259410;1.259690;0
20170201 042500;1.259660;1.259660;1.259280;1.259500;0
20170201 042600;1.259500;1.259580;1.258890;1.259100;0
20170201 042700;1.259150;1.259180;1.259020;1.259180;0
20170201 042800;1.259200;1.259200;1.259050;1.259050;0
20170201 042900;1.259060;1.259070;1.258750;1.258760;0
20170201 043000;1.258720;1.259110;1.258260;1.258530;0
20170201 043100;1.258530;1.258580;1.258140;1.258140;0
20170201 043200;1.258150;1.258400;1.258030;1.258160;0
20170201 043300;1.258170;1.258290;1.257980;1.258070;0
20170201 043400;1.258040;1.258560;1.257890;1.258550;0
20170201 043500;1.258570;1.258900;1.258520;1.258850;0
20170201 043600;1.258860;1.259030;1.258820;1.259020;0
20170201 043700;1.259020;1.259520;1.259000;1.259520;0
20170201 043800;1.259490;1.259560;1.259330;1.259560;0
20170201 043900;1.259550;1.261390;1.259550;1.260720;0
20170201 044000;1.260800;1.261420;1.260790;1.261250;0
20170201 044100;1.261220;1.261890;1.261140;1.261680;0
20170201 044200;1.261670;1.261720;1.261410;1.261420;0
20170201 044300;1.261380;1.261430;1.260720;1.260790;0
20170201 044400;1.260850;1.261020;1.260720;1.260730;0
20170201 044500;1.260730;1.260730;1.260470;1.260510;0
20170201 044600;1.260510;1.260940;1.260420;1.260920;0
20170201 044700;1.260900;1.261510;1.260870;1.261460;0
20170201 044800;1.261470;1.261470;1.261300;1.261460;0
20170201 044900;1.261520;1.262030;1.261320;1.262010;0
20170201 045000;1.261990;1.261990;1.261520;1.261520;0
20170201 045100;1.261520;1.261660;1.261470;1.261520;0
20170201 045200;1.261510;1.261510;1.261460;1.261470;0
20170201 045300;1.261480;1.261820;1.261480;1.261620;0
20170201 045400;1.261650;1.261650;1.261480;1.261530;0
20170201 045500;1.261530;1.261630;1.261460;1.261610;0
20170201 045600;1.261610;1.261770;1.261460;1.261630;0
20170201 045700;1.261630;1.261690;1.261530;1.261640;0
20170201 045800;1.261630;1.261820;1.261460;1.261460;0
20170201 045900;1.261470;1.261470;1.259840;1.260330;0
20170201 050000;1.260320;1.260770;1.260260;1.260500;0
20170201 050100;1.260490;1.260620;1.259530;1.259550;0
20170201 050200;1.259530;1.259990;1.259530;1.259780;0
20170201 050300;1.259770;1.259920;1.259430;1.259500;0
20170201 050400;1.259490;1.260080;1.259420;1.260010;0
20170201 050500;1.260000;1.260100;1.259890;1.260030;0
20170201 050600;1.260010;1.260010;1.259800;1.259810;0
20170201 050700;1.259780;1.260240;1.259670;1.260240;0
20170201 050800;1.260230;1.260260;1.260100;1.260120;0
20170201 050900;1.260110;1.260110;1.259610;1.259800;0
20170201 051000;1.259810;1.260200;1.259800;1.260130;0
