Time,Min,Max
20170102 082600,"1,22912","1,22912"
20170102 082700,"1,22881","1,22881"
20170102 082800,"1,22881","1,22881"
20170102 082900,"1,22858","1,22858"
20170102 083000,"1,2286","1,22868"
20170102 083100,"1,22865","1,22865"
20170102 083200,"1,22865","1,22865"
20170102 083300,"1,22865","1,22865"
20170102 083400,"1,22865","1,22865"
20170102 083500,"1,22865","1,22865"
20170102 083600,"1,22865","1,22865"
20170102 083700,"1,22865","1,22865"
20170102 083800,"1,22865","1,22865"
20170102 083900,"1,22865","1,22865"
20170102 084000,"1,22865","1,22865"
20170102 084100,"1,22865","1,22865"
20170102 084200,"1,22865","1,22918"
20170102 084300,"1,22865","1,22865"
20170102 084400,"1,22865","1,22888"
20170102 084500,"1,22878","1,22891"
20170102 084600,"1,22878","1,22878"
20170102 084700,"1,22872","1,22878"
20170102 084800,"1,22879","1,22886"
20170102 084900,"1,22875","1,22876"
20170102 085000,"1,22877","1,22877"
20170102 085100,"1,22877","1,22877"
20170102 085200,"1,22876","1,22877"
20170102 085300,"1,22877","1,22877"
20170102 085400,"1,22877","1,22878"
20170102 085500,"1,22875","1,22877"
20170102 085600,"1,22877","1,22878"
20170102 085700,"1,22875","1,22875"
20170102 085800,"1,22875","1,22875"
20170102 085900,"1,22875","1,22875"
20170102 090000,"1,22857","1,2286"
20170102 090100,"1,2284","1,2284"
20170102 090200,"1,22834","1,22842"
20170102 090300,"1,22832","1,22833"
20170102 090400,"1,22863","1,2289"
20170102 090500,"1,22868","1,2288"
20170102 090600,"1,22871","1,22871"
20170102 090700,"1,22869","1,22904"
20170102 090800,"1,22904","1,22908"
20170102 090900,"1,22869","1,2287"
20170102 091000,"1,22868","1,22873"
20170102 091100,"1,22868","1,22886"
20170102 091200,"1,22883","1,22891"
20170102 091300,"1,22887","1,22887"
20170102 091400,"1,22879","1,22879"
20170102 091500,"1,22877","1,22879"
20170102 091600,"1,22877","1,2288"
20170102 091700,"1,2288","1,2288"
20170102 091800,"1,22877","1,2288"
20170102 091900,"1,2288","1,2288"
20170102 092000,"1,2288","1,22889"
20170102 092100,"1,22889","1,22889"
20170102 092200,"1,22882","1,22884"
20170102 092300,"1,22879","1,22883"
20170102 092400,"1,22883","1,22883"
20170102 092500,"1,22881","1,22884"
20170102 092600,"1,22883","1,22884"
20170102 092700,"1,22879","1,22898"
20170102 092800,"1,22898","1,22898"
20170102 092900,"1,22887","1,229"
20170102 093000,"1,22887","1,22898"
20170102 093100,"1,22898","1,22898"
20170102 093200,"1,22828","1,22864"
20170102 093300,"1,22827","1,2283"
20170102 093400,"1,2283","1,2283"
20170102 093500,"1,22819","1,22824"
20170102 093600,"1,22823","1,22824"
20170102 093700,"1,22821","1,22823"
20170102 093800,"1,22807","1,22807"
20170102 093900,"1,22807","1,22807"
20170102 094000,"1,22782","1,22824"
20170102 094100,"1,22821","1,22821"
20170102 094200,"1,22821","1,22825"
20170102 094300,"1,22832","1,22834"
20170102 094400,"1,22831","1,22831"
20170102 094500,"1,22828","1,22838"
20170102 094600,"1,22838","1,22841"
20170102 094700,"1,22835","1,22835"
20170102 094800,"1,2283","1,22884"
20170102 094900,"1,22836","1,22885"
20170102 095000,"1,22885","1,22885"
20170102 095100,"1,2287","1,22897"
20170102 095200,"1,22885","1,22885"
20170102 095300,"1,22885","1,22885"
20170102 095400,"1,22885","1,22885"
20170102 095500,"1,22885","1,22885"
20170102 095600,"1,22885","1,22885"
20170102 095700,"1,22885","1,22885"
20170102 095800,"1,22885","1,22885"
20170102 095900,"1,22885","1,22885"
20170102 100000,"1,22885","1,22885"
20170102 100100,"1,22835","1,22837"
20170102 100200,"1,22845","1,22851"
20170102 100300,"1,22835","1,22934"
20170102 100400,"1,22918","1,22919"
20170102 100500,"1,22895","1,22895"
20170102 100600,"1,22847","1,22851"
20170102 100700,"1,2285","1,22851"
20170102 100800,"1,2285","1,22883"
20170102 100900,"1,22883","1,22883"
20170102 101000,"1,2288","1,22881"
20170102 101100,"1,22874","1,22875"
20170102 101200,"1,22874","1,22882"
20170102 101300,"1,22881","1,22881"
20170102 101400,"1,2288","1,22889"
20170102 101500,"1,22889","1,2289"
20170102 101600,"1,2289","1,2289"
20170102 101700,"1,2289","1,2289"
20170102 101800,"1,22885","1,22885"
20170102 101900,"1,22884","1,22887"
20170102 102000,"1,229","1,229"
20170102 102100,"1,22886","1,22889"
20170102 102200,"1,22887","1,229"
20170102 102300,"1,22901","1,22901"
20170102 102400,"1,22891","1,22891"
20170102 102500,"1,22891","1,22894"
20170102 102600,"1,22885","1,22885"
20170102 102700,"1,22881","1,2289"
20170102 102800,"1,22868","1,22868"
20170102 102900,"1,22867","1,22873"
20170102 103000,"1,22868","1,2287"
20170102 103100,"1,2287","1,22872"
20170102 103200,"1,22871","1,22881"
20170102 103300,"1,22881","1,22881"
20170102 103400,"1,22877","1,22878"
20170102 103500,"1,22877","1,22877"
20170102 103600,"1,22862","1,22881"
20170102 103700,"1,22881","1,22881"
20170102 103800,"1,22879","1,22882"
20170102 103900,"1,22875","1,22877"
20170102 104000,"1,22879","1,22881"
20170102 104100,"1,22878","1,22881"
20170102 104200,"1,22879","1,2288"
20170102 104400,"1,22882","1,22901"
20170102 104500,"1,22882","1,22893"
20170102 104600,"1,22911","1,22911"
20170102 104700,"1,229","1,22923"
20170102 104800,"1,22924","1,22924"
20170102 104900,"1,22921","1,22923"
20170102 105000,"1,22923","1,22928"
20170102 105100,"1,22929","1,22929"
20170102 105200,"1,22927","1,22928"
20170102 105300,"1,22927","1,22933"
20170102 105400,"1,22927","1,2294"
20170102 105500,"1,22932","1,22933"
20170102 105600,"1,22899","1,22912"
20170102 105700,"1,22905","1,22935"
20170102 105800,"1,22908","1,22942"
20170102 105900,"1,22935","1,22941"
20170102 110000,"1,22919","1,22924"
20170102 110100,"1,22916","1,22923"
20170102 110200,"1,22914","1,22914"
20170102 110300,"1,22899","1,22925"
20170102 110400,"1,22925","1,22925"
20170102 110500,"1,22909","1,22918"
20170102 110600,"1,22917","1,22917"
20170102 110700,"1,22918","1,22919"
20170102 110800,"1,22918","1,22937"
20170102 110900,"1,22918","1,22918"
20170102 111000,"1,22919","1,22921"
20170102 111100,"1,22917","1,22919"
20170102 111200,"1,22917","1,22918"
20170102 111300,"1,22915","1,22917"
20170102 111400,"1,22915","1,22915"
20170102 111500,"1,22915","1,22917"
20170102 111600,"1,22915","1,22915"
20170102 111700,"1,22915","1,22915"
20170102 111800,"1,22888","1,22892"
20170102 111900,"1,22888","1,22894"
20170102 112000,"1,22892","1,22914"
20170102 112100,"1,22891","1,22892"
20170102 112200,"1,22895","1,22922"
20170102 112400,"1,22887","1,22915"
20170102 112600,"1,22892","1,22915"
20170102 112800,"1,22915","1,22929"
20170102 112900,"1,22924","1,22932"
20170102 113000,"1,22903","1,2293"
20170102 113100,"1,22888","1,22888"
20170102 113200,"1,229","1,229"
20170102 113300,"1,22886","1,22892"
20170102 113400,"1,22887","1,22899"
20170102 113500,"1,22889","1,22897"
20170102 113600,"1,22877","1,22877"
20170102 113700,"1,22875","1,22924"
20170102 113800,"1,22877","1,22877"
20170102 113900,"1,2288","1,22893"
20170102 114000,"1,22878","1,22905"
20170102 114100,"1,2288","1,22923"
20170102 114200,"1,22926","1,22934"
20170102 114300,"1,22896","1,22896"
20170102 114400,"1,22866","1,22926"
20170102 114500,"1,22925","1,22934"
20170102 114600,"1,22925","1,22926"
20170102 114700,"1,22926","1,22927"
20170102 114800,"1,22929","1,22929"
20170102 114900,"1,22922","1,22922"
20170102 115000,"1,22874","1,22925"
20170102 115100,"1,22922","1,22922"
20170102 115200,"1,229","1,22904"
20170102 115300,"1,22904","1,22922"
20170102 115400,"1,22921","1,22922"
20170102 115600,"1,22907","1,22907"
20170102 115700,"1,2292","1,22922"
20170102 115800,"1,22922","1,22926"
20170102 115900,"1,22921","1,22922"
20170102 120000,"1,2292","1,22922"
20170102 120100,"1,22917","1,22917"
20170102 120200,"1,22919","1,22927"
20170102 120300,"1,22924","1,22927"
20170102 120400,"1,22928","1,22928"
